child,parent
PSMD12,R-HSA-179419
PSMD13,R-HSA-179419
PSMD14,R-HSA-179419
PSMD2,R-HSA-179419
PSMD3,R-HSA-179419
PSMD6,R-HSA-179419
PSMD7,R-HSA-179419
PSMD8,R-HSA-179419
RPS27A,R-HSA-179419
SEM1,R-HSA-179419
UBA52,R-HSA-179419
UBB,R-HSA-179419
UBC,R-HSA-179419
UBE2C,R-HSA-179419
UBE2D1,R-HSA-179419
UBE2E1,R-HSA-179419
UBE2S,R-HSA-179419
LIG3,R-HSA-5649702
NEIL1,R-HSA-5649702
NEIL2,R-HSA-5649702
OGG1,R-HSA-5649702
PNKP,R-HSA-5649702
POLB,R-HSA-5649702
XRCC1,R-HSA-5649702
APOBEC3G,R-HSA-180689
BANF1,R-HSA-180689
HMGA1,R-HSA-180689
PPIA,R-HSA-180689
PSIP1,R-HSA-180689
gag,R-HSA-180689
gag-pol,R-HSA-180689
rev,R-HSA-180689
vif,R-HSA-180689
vpr,R-HSA-180689
vpu,R-HSA-180689
ARG1,R-HSA-9956514
ARL13B,R-HSA-5624958
INPP5E,R-HSA-5624958
PDE6D,R-HSA-5624958
BRAF,R-HSA-170984
CRK,R-HSA-170984
KIDINS220,R-HSA-170984
NGF,R-HSA-170984
NTRK1,R-HSA-170984
RAP1A,R-HSA-170984
YWHAB,R-HSA-170984
ASL,R-HSA-9956529
ALK,R-HSA-9717264
ASS1,R-HSA-9956520
NMRAL1,R-HSA-9956520
ASNS,R-HSA-380994
ATF3,R-HSA-380994
ATF4,R-HSA-380994
ATF6,R-HSA-380994
CCL2,R-HSA-380994
CEBPB,R-HSA-380994
CEBPG,R-HSA-380994
CXCL8,R-HSA-380994
DCP2,R-HSA-380994
DDIT3,R-HSA-380994
DIS3,R-HSA-380994
EXOSC1,R-HSA-380994
EXOSC2,R-HSA-380994
EXOSC3,R-HSA-380994
EXOSC4,R-HSA-380994
EXOSC5,R-HSA-380994
EXOSC6,R-HSA-380994
EXOSC7,R-HSA-380994
EXOSC8,R-HSA-380994
EXOSC9,R-HSA-380994
HERPUD1,R-HSA-380994
IGFBP1,R-HSA-380994
KHSRP,R-HSA-380994
NFYA,R-HSA-380994
NFYB,R-HSA-380994
NFYC,R-HSA-380994
PARN,R-HSA-380994
ATF4,R-HSA-381183
ATF6,R-HSA-381183
CALR,R-HSA-381183
DDIT3,R-HSA-381183
HSP90B1,R-HSA-381183
HSPA5,R-HSA-381183
NFYA,R-HSA-381183
NFYB,R-HSA-381183
NFYC,R-HSA-381183
XBP1,R-HSA-381183
ATF4,R-HSA-381033
ATF6,R-HSA-381033
