Gene,SVM_Mean_Abs_SHAP,SVM_Rank
CNTN6,0.01668485739158931,543
CPNE8,0.016503661278800253,544
DES,0.016467323685339864,545
RSPO2,0.01640167719161524,546
CHST11,0.016305262368440456,547
UAP1,0.01627899533328121,548
RAB27B,0.01619913960905753,549
FANCC,0.01610728773256006,550
FKBP5,0.01610516750522836,551
IFIT2,0.016012163525752424,552
VCAM1,0.015975683095830563,553
AGMO,0.015852852832530597,554
PTPRK,0.015769822875608002,555
RGCC,0.015740410287597872,556
RGS4,0.015725970466301854,557
SNCA,0.015643807060207626,558
SCN10A,0.015591124039457187,559
PELI2,0.015574408493484328,560
ZFHX3,0.015552257332754527,561
MGAT4C,0.015524631479705491,562
GBP2,0.015501521653047412,563
GRM4,0.015482006492678042,564
ADAMTS17,0.015453122597587212,565
SLC2A9,0.015429339549073766,566
NDUFA4,0.015424239330321561,567
MYH11,0.015325610021254385,568
EDIL3,0.015263135103682506,569
PTPN13,0.015261246115592727,570
FGF1,0.015242418290660092,571
STARD13,0.015153073565218085,572
SERPINE2,0.015107538969054934,573
ARHGAP42,0.015088655675973622,574
GAS2,0.014979047193053324,575
EBF1,0.014905560443061525,576
CHST9,0.014903394821382709,577
SLC5A8,0.01488158546551711,578
MYRIP,0.014874878267150197,579
HPSE2,0.014844966421237789,580
TLE4,0.014651131326415507,581
MT1G,0.014641396173776267,582
TPST1,0.014557398440441004,583
KIRREL3,0.014481710829903497,584
PCK1,0.014456446420012314,585
KIF26B,0.014454231872061032,586
SYN3,0.014399942830141598,587
CLDN1,0.014304410921340022,588
RAB31,0.014293817573139527,589
APOE,0.014221170416831012,590
HOMER1,0.01422104664688111,591
GRIA4,0.014113522029106044,592
RYR2,0.014110483073734205,593
GPC6,0.014035347439943141,594
TIMP3,0.013930623542641301,595
TNFAIP8,0.013923243745400495,596
MRC1,0.013904484165807673,597
ALDH1L1,0.013882075160542576,598
EPS8,0.013817135243186616,599
TWIST1,0.013810756459439999,600
RPL41,0.013797791754717435,601
IL15,0.01365559642337858,602
CALCRL,0.013652269550615386,603
GUCY1A1,0.013601948067320502,604
JAM2,0.013601675036291975,605
RUNX2,0.01352875520918173,606
PDE10A,0.013508763303169703,607
TLR2,0.01348839530614595,608
LHFPL2,0.013463458697502527,609
PTH2R,0.013324685170459519,610
ITGA4,0.013303821735040454,611
COL25A1,0.013239274320196536,612
CACNB2,0.013230341507827542,613
IL1B,0.013205629056297364,614
JUNB,0.01317275904571074,615
ACKR1,0.013139803708861392,616
DNAJA1,0.013096616014349595,617
TRPM3,0.013073544944922655,618
TFAP2B,0.01302134755184945,619
GRIA1,0.012928920278836901,620
MTERF1,0.012926769415410874,621
CD38,0.012888961709252815,622
COL4A2,0.012839145652979115,623
BCAS2,0.012814621775522278,624
EFNA5,0.012776937196255543,625
ADAMTSL3,0.012776178476375988,626
CRHBP,0.01276447035769496,627
ADAMTS16,0.012726809498815857,628
PLEKHG4B,0.012725685212655513,629
PKP2,0.01272053483372653,630
PLBD1,0.012711258359543733,631
GRM1,0.012636277633641535,632
NR5A2,0.012626627895442364,633
CYP19A1,0.012612847233693825,634
S100A8,0.012594492379855538,635
PAPPA2,0.012563240444894291,636
ARHGEF3,0.012551047963345703,637
PPARGC1A,0.012469981308841752,638
CXCL3,0.012384695451745982,639
HES1,0.012375768462077733,640
GOLIM4,0.012343010630850413,641
SDK2,0.012301938872879174,642
BCHE,0.01226521056462109,643
CEMIP,0.01225142972866878,644
MT1H,0.012207967637048756,645
PGAP1,0.012186525516503661,646
TMSB4X,0.012168957740006422,647
TACR1,0.01205854431810231,648
DLC1,0.012030223511674513,649
UNC5D,0.011987000723942992,650
INPP4B,0.011932248245156813,651
IQGAP2,0.011913939338222497,652
EPHA7,0.011900367105733067,653
CHRM2,0.011787116277344406,654
KCNH7,0.011773709041535409,655
KCND2,0.011723183726227255,656
ZIC2,0.011720131920055811,657
PMAIP1,0.011684865258360141,658
CYSLTR1,0.011670673183616009,659
PELI1,0.011661818926141376,660
MND1,0.011647313020759957,661
ADAMTSL1,0.01157264074746941,662
FCN1,0.01155954197480742,663
IFI44L,0.01145953468455115,664
CTNNA2,0.011432618183354396,665
F5,0.011423325698265733,666
INHBA,0.011384302624360182,667
CDH7,0.011382151849050367,668
LAMA3,0.011374751882071286,669
ADAMTS18,0.01137269717251504,670
PLCE1,0.011208408506427348,671
DPH6,0.01110302134965436,672
CHSY3,0.010988797255386002,673
CDH13,0.010968703899636103,674
KCNMA1,0.01093139806668903,675
RIMS1,0.010899775423716401,676
SLPI,0.010847436208390416,677
TUBA1A,0.010829592973694143,678
SLC8A1,0.010700887381408819,679
ATP6V0D2,0.010696600000395082,680
HBB,0.01067968027433116,681
RAB3B,0.010679431797236709,682
JCHAIN,0.010666194969565545,683
ESRRG,0.010657783337868326,684
CAMKMT,0.010588035590171884,685
CDH4,0.010553758593658336,686
MMRN1,0.010485329702432782,687
SFRP1,0.010485275800952265,688
SOX6,0.010433153126733524,689
GRK7,0.01041500939425514,690
PLCH1,0.010393956124320815,691
ADAMTS9,0.010354546486801173,692
BLK,0.01034768802068469,693
ATP10A,0.010333832932354185,694
PCSK5,0.010319946444642252,695
INSIG1,0.010287684973396006,696
TMOD3,0.010259842486583633,697
MATN1,0.010242337214507319,698
LPL,0.010182893558408897,699
EGR4,0.010136155835043115,700
SEMA3A,0.010033172373826716,701
DCSTAMP,0.010030051117624264,702
CENPF,0.01001158814235183,703
FGFR2,0.009961384114724834,704
KCNK2,0.009856369679400605,705
CLDN5,0.009795510986663215,706
ID2,0.009783681833390368,707
KLF5,0.009766546379958939,708
ZIC1,0.009748099633911529,709
GADL1,0.009739422959313359,710
RIT2,0.009721230987415598,711
LIF,0.009712653146107942,712
SLC22A3,0.009681145225982143,713
SLC22A8,0.009664843884534391,714
DAPK1,0.00963593349437631,715
HSPA4L,0.009619858013047558,716
KCNK13,0.009544874417346394,717
GRIP1,0.009515517294846168,718
GRM3,0.009453621714600747,719
DPP4,0.009372550042470564,720
ABCA9,0.009316036288255126,721
MT-CO1,0.009313651235745348,722
IER3,0.00929353931599813,723
TIAM1,0.009269266158938173,724
LDLR,0.00926612237557783,725
ROBO2,0.009232033654065922,726
GABRQ,0.00920620829722304,727
CSF3,0.009198666112673854,728
AIM2,0.009193653975121284,729
ISG15,0.009159740508096228,730
IL33,0.00913211559336361,731
SMAD9,0.009083703660273605,732
IGHG1,0.009047034612650287,733
DIAPH3,0.008994352983265036,734
WHRN,0.008979455608463846,735
TPO,0.008966557274225889,736
HS6ST3,0.008959129169624122,737
